Deleted Node Moduleas
#	deleted:    node_modules/react/cjs/react-jsx-dev-runtime.profiling.js
#	deleted:    node_modules/react/cjs/react-jsx-dev-runtime.react-server.development.js
#	deleted:    node_modules/react/cjs/react-jsx-dev-runtime.react-server.production.js
#	deleted:    node_modules/react/cjs/react-jsx-runtime.development.js
#	deleted:    node_modules/react/cjs/react-jsx-runtime.production.js
#	deleted:    node_modules/react/cjs/react-jsx-runtime.profiling.js
#	deleted:    node_modules/react/cjs/react-jsx-runtime.react-server.development.js
#	deleted:    node_modules/react/cjs/react-jsx-runtime.react-server.production.js
#	deleted:    node_modules/react/cjs/react.development.js
#	deleted:    node_modules/react/cjs/react.production.js
#	deleted:    node_modules/react/cjs/react.react-server.development.js
#	deleted:    node_modules/react/cjs/react.react-server.production.js
#	deleted:    node_modules/react/compiler-runtime.js
#	deleted:    node_modules/react/index.js
#	deleted:    node_modules/react/jsx-dev-runtime.js
#	deleted:    node_modules/react/jsx-dev-runtime.react-server.js
#	deleted:    node_modules/react/jsx-runtime.js
#	deleted:    node_modules/react/jsx-runtime.react-server.js
#	deleted:    node_modules/react/package.json
#	deleted:    node_modules/react/react.react-server.js
#	deleted:    node_modules/scheduler/LICENSE
#	deleted:    node_modules/scheduler/README.md
#	deleted:    node_modules/scheduler/cjs/scheduler-unstable_mock.development.js
#	deleted:    node_modules/scheduler/cjs/scheduler-unstable_mock.production.js
#	deleted:    node_modules/scheduler/cjs/scheduler-unstable_post_task.development.js
#	deleted:    node_modules/scheduler/cjs/scheduler-unstable_post_task.production.js
#	deleted:    node_modules/scheduler/cjs/scheduler.development.js
#	deleted:    node_modules/scheduler/cjs/scheduler.native.development.js
#	deleted:    node_modules/scheduler/cjs/scheduler.native.production.js
#	deleted:    node_modules/scheduler/cjs/scheduler.production.js
#	deleted:    node_modules/scheduler/index.js
#	deleted:    node_modules/scheduler/index.native.js
#	deleted:    node_modules/scheduler/package.json
#	deleted:    node_modules/scheduler/unstable_mock.js
#	deleted:    node_modules/scheduler/unstable_post_task.js
#
